carrier,canceled_flights,cities
American Eagle Airlines Inc.,22792,"San Luis Obispo, Los Angeles, Fresno, Santa Barbara, San Diego, San Jose, Fayetteville/Springdale/Rogers, Santa Ana, San Francisco, Tyler, Dallas-Fort Worth, Killeen, Alexandria, Abilene, Wichita Falls, College Station, Lawton, Longview, San Angelo, Lafayette, Shreveport, Waco, Monroe, Texarkana, Mobile, Amarillo, Dallas, San Antonio, Valparaiso, Little Rock, Pittsburgh, Austin, Greensboro, Gulfport-Biloxi, Springfield, Madison, Knoxville, Columbia, Lubbock, Baton Rouge, Fort Smith, Houston, Corpus Christi, Pensacola, Covington, Syracuse, Peoria, Laredo, Chattanooga, Charleston, Midland, Louisville, Huntsville, Cleveland, Cedar Rapids, Lexington, Oklahoma City, Tulsa, Dayton, Rochester, Columbus, Jackson, Milwaukee, Greer, Des Moines, Grand Rapids, Savannah, Moline, Fort Wayne, Evansville, Kansas City, Wichita, Harrisburg, Chicago, Omaha, Miami, Memphis, Bloomington, Green Bay, NA, Charlotte, Baltimore, La Crosse, Nashville, Buffalo, Richmond, Traverse City, Newburgh, New York, Windsor Locks, Albany, Providence, Chantilly, Champaign/Urbana, Dubuque, Kalamazoo, Indianapolis, Toledo, White Plains, Atlanta, Detroit, Flint, Jacksonville, Boston, Newark, Raleigh, Bangor, St Louis, Arlington, Las Vegas, Montrose, Norfolk, Colorado Springs, Monterey, Birmingham, Roswell"
American Airlines Inc.,17924,"Los Angeles, New York, San Francisco, Dallas-Fort Worth, Chantilly, Newark, Boston, Miami, Houston, Chicago, Philadelphia, El Paso, St Louis, San Juan, Santa Ana, San Antonio, Arlington, Oklahoma City, Tulsa, Kansas City, Raleigh, Omaha, Denver, Burbank, Albuquerque, Orlando, Austin, Minneapolis, San Diego, New Orleans, Fayetteville/Springdale/Rogers, McAllen, Richmond, San Jose, Palm Springs, Reno, Memphis, Fresno, Indianapolis, Atlanta, Las Vegas, Norfolk, Ft. Myers, Portland, Baltimore, Birmingham, Tampa, Huntsville, Ft. Lauderdale, Tucson, Wichita, Nashville, Charlotte, Colorado Springs, Phoenix, Charlotte Amalie, Detroit, Salt Lake City, Jacksonville, Oakland, Ontario, Columbus, Louisville, West Palm Beach, Seattle, Dallas, Sacramento, Windsor Locks, Dayton, Eagle, Hayden, Kahului, Honolulu, Kailua/Kona, Jackson, Christiansted, Montrose, Gunnison, Greensboro, Anchorage, Lihue"
Skywest Airlines Inc.,14186,"Hailey, Salt Lake City, Albuquerque, Santa Barbara, San Jose, San Francisco, Modesto, Chico, Chicago, Allentown, Los Angeles, Ontario, Fresno, Bakersfield, Oxnard, Arcata/Eureka, Sacramento, Montrose, Burbank, Eugene, Denver, Kalamazoo, Springfield, Green Bay, Jackson, Crescent City, Santa Ana, Monterey, Medford, San Luis Obispo, Colorado Springs, Fayetteville/Springdale/Rogers, Pasco, Charleston, Wichita, Pocatello, Elko, Casper, St George, Twin Falls, Billings, Reno, Phoenix, Spokane, Idaho Falls, Missoula, Long Beach, Oakland, Great Falls, Grand Junction, Kalispell, Tulsa, Hayden, Seattle, St Louis, Portland, Palm Springs, Las Vegas, Louisville, Memphis, Lansing, San Diego, Inyokern, Santa Maria, Aspen, Milwaukee, Sioux Falls, Nashville, Jacksonville, Knoxville, Omaha, Appleton, Fort Wayne, Saginaw, Madison, Syracuse, Peoria, Cleveland, Covington, Durango, Fargo, Bozeman, El Paso, Boise, Bismarck, Oklahoma City, Rapid City, Savannah, Cedar Rapids, Norfolk, Traverse City, Bellingham, Butte, Helena, Des Moines, Detroit, Redding, Lincoln, Kansas City, Dallas-Fort Worth, Grand Rapids, Birmingham, Lexington, Houston, Pittsburgh, Austin, Akron, Indianapolis, San Antonio, Atlanta, NA, Tucson, Moline, Dayton, Yuma, Imperial, Roanoke, Wilkes-Barre/Scranton, Mosinee, Cody, Redmond, Philadelphia, South Bend, Burlington, Huntsville, Minneapolis, Little Rock, Greensboro, Columbus, Rockford, Baltimore, White Plains, Raleigh, Buffalo, Greer, New Orleans, Lewiston, Palmdale, West Yellowstone, Windsor Locks, Yakima, Newark, Ft. Lauderdale, Charlotte, Salem, Gunnison"
United Air Lines Inc.,11929,"New York, San Francisco, Los Angeles, Denver, Kailua/Kona, Lihue, Chicago, San Jose, Des Moines, Windsor Locks, Boston, Omaha, Philadelphia, Chantilly, Dallas-Fort Worth, San Diego, Baltimore, Atlanta, Sacramento, Minneapolis, Santa Ana, Oakland, Albuquerque, Seattle, Houston, San Antonio, Austin, Grand Rapids, Rochester, Kansas City, Detroit, Oklahoma City, St Louis, Wichita, Pittsburgh, Tulsa, Covington, Spokane, Tucson, Indianapolis, Charlotte, Arlington, Newark, Harrisburg, Providence, Hayden, Columbus, Richmond, Albany, Montrose, Eagle, Boise, Burbank, Billings, Las Vegas, Phoenix, Reno, Orlando, Tampa, Ontario, Honolulu, Manchester, Greensboro, Buffalo, Ft. Myers, New Orleans, Jacksonville, Salt Lake City, Portland, Cleveland, Dayton, Burlington, San Juan, Charlotte Amalie, Miami, Ft. Lauderdale, West Palm Beach, Raleigh, Kahului, Jackson, Anchorage, Palm Springs"
Mesa Airlines Inc.,11287,"Denver, Eagle, Eugene, Fresno, Grand Junction, Chantilly, New York, Rapid City, Raleigh, Allentown, Aspen, Newark, Harrisburg, Chicago, Savannah, Appleton, Birmingham, Bloomington, Nashville, Akron, Charlotte, Flagstaff, Green Bay, Las Vegas, Phoenix, Pittsburgh, Pensacola, Providence, Reno, South Bend, Atlanta, Austin, Cedar Rapids, Cleveland, Durango, Detroit, El Paso, Greer, Hayden, Moline, Ontario, Philadelphia, Telluride, Des Moines, Greensboro, Houston, St Louis, Yuma, Santa Ana, Columbia, Charleston, Bakersfield, Buffalo, Dallas-Fort Worth, Lansing, Los Angeles, Saginaw, Madison, Roanoke, Rochester, NA, Colorado Springs, Mosinee, Oklahoma City, Gunnison, Boston, Wichita, Kansas City, Palm Springs, Windsor Locks, Cody, Jacksonville, Long Beach, Minneapolis, San Luis Obispo, Tucson, Norfolk, San Antonio, Baltimore, Wilmington, Fort Wayne, Wilkes-Barre/Scranton, Burbank, Sioux Falls, San Francisco, Jackson, Manchester, Salt Lake City, Sarasota, Portland, San Jose, Indianapolis, Santa Barbara, Medford, Seattle, Montrose, Monterey, Myrtle Beach, Daytona Beach, Syracuse, Oakland, Columbus, Honolulu, Kailua/Kona, Lihue, Kahului, San Diego, Huntsville, Richmond, Springfield, Sacramento, Memphis, Albany, Traverse City, Casper, Hilo, Boise, Little Rock, Albuquerque, New Orleans, Grand Rapids"
Expressjet Airlines Inc.,10800,"Houston, Burlington, Newark, West Palm Beach, Pittsburgh, Dallas-Fort Worth, Charleston, Portland, Daytona Beach, Chantilly, Columbia, Nashville, Austin, Midland, Lafayette, Little Rock, Norfolk, Fayetteville/Springdale/Rogers, Pensacola, Charlotte, Lubbock, Kansas City, Allentown, Greer, Manchester, Oklahoma City, Huntsville, Dallas, Wichita, Covington, Windsor Locks, Syracuse, Chicago, Buffalo, Colorado Springs, White Plains, Dayton, Harrisburg, Tulsa, Baltimore, Baton Rouge, Cleveland, Harlingen, Jacksonville, Greensboro, Richmond, Detroit, Milwaukee, Rochester, New York, Montgomery, Memphis, Killeen, Birmingham, Shreveport, Laredo, Indianapolis, Arlington, Columbus, Brownsville, Jackson, Albuquerque, Providence, Monroe, Corpus Christi, Bakersfield, Alexandria, Bangor, Gulfport-Biloxi, Asheville, Savannah, El Paso, St Louis, Valparaiso, Lake Charles, College Station, Minneapolis, Phoenix, Salt Lake City, Mobile, Grand Rapids, Beaumont/Port Arthur, Amarillo, Louisville, Orlando, Albany, Tallahassee, Tucson, Chattanooga, Boston, Knoxville, Sarasota, Omaha, Raleigh, Palm Springs, Lexington, Atlanta, Philadelphia, Denver, Miami, Madison, New Orleans, Des Moines, McAllen, Spokane, San Diego, Sacramento, Nantucket, San Antonio, Ontario, Hayden, Los Angeles, San Jose, Oakland, Boise, Monterey, Kalispell, Ft. Myers, Fresno, Las Vegas, Santa Barbara, San Francisco, Reno, Long Beach, Billings, Rapid City, Eugene, Seattle"
Southwest Airlines Co.,9993,"Santa Ana, Austin, Dallas, Houston, Las Vegas, Oakland, Ontario, Phoenix, San Diego, Burbank, Los Angeles, Sacramento, Nashville, Harlingen, Chicago, Reno, San Antonio, San Jose, St Louis, Birmingham, Baltimore, Orlando, Philadelphia, Pittsburgh, Windsor Locks, Seattle, Buffalo, Cleveland, Denver, Detroit, El Paso, Ft. Lauderdale, Islip, Kansas City, Tucson, Albuquerque, Amarillo, Portland, Providence, Chantilly, Lubbock, Midland, Oklahoma City, Louisville, Salt Lake City, Tampa, Tulsa, Indianapolis, Little Rock, New Orleans, Omaha, West Palm Beach, Manchester, Corpus Christi, Spokane, Jackson, Albany, Columbus, Norfolk, Boise, Jacksonville, Raleigh, Ft. Myers, San Francisco"
US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),8942,"Albuquerque, Atlanta, Austin, Las Vegas, Phoenix, Santa Ana, Los Angeles, San Francisco, Baltimore, Oakland, Ontario, San Jose, Seattle, Kailua/Kona, San Diego, Detroit, Burbank, Reno, Houston, Dallas-Fort Worth, Minneapolis, St Louis, Kansas City, Portland, El Paso, Anchorage, San Antonio, Chicago, Sacramento, Columbus, Philadelphia, Tucson, Denver, Newark, Arlington, Charlotte, Pittsburgh, New York, Providence, New Orleans, Tampa, San Juan, Richmond, Ft. Lauderdale, Nashville, Boston, Chantilly, Orlando, Charleston, Jacksonville, Wilmington, Miami, Indianapolis, Windsor Locks, West Palm Beach, Syracuse, Raleigh, Rochester, Norfolk, Myrtle Beach, Kahului, Ft. Myers, Omaha, Buffalo, Milwaukee, Lihue, Albany, Manchester, Allentown, Burlington, Cleveland, Harrisburg, Charlotte Amalie, Sarasota, Salt Lake City, Honolulu, Spokane, Savannah, Boise, Fresno"
Atlantic Southeast Airlines,8920,"Salt Lake City, Atlanta, Montgomery, Pensacola, Manchester, St Louis, Denver, Appleton, Bangor, Mobile, Columbus, Bristol, Oakland, Fayetteville/Springdale/Rogers, Milwaukee, Little Rock, South Bend, Gainesville, Augusta, Wichita, Portland, Wilkes-Barre/Scranton, Buffalo, Springfield, Providence, Minneapolis, Akron, Lynchburg, Knoxville, New Orleans, Houston, San Antonio, Omaha, Chattanooga, Columbia, Dothan, Birmingham, Macon, Madison, Myrtle Beach, Shreveport, Panama City, Monroe, Allentown, Sacramento, Los Angeles, Islip, Richmond, Tulsa, Charleston, Las Vegas, San Francisco, Valparaiso, Austin, Asheville, Baton Rouge, Rochester, Detroit, Erie, Covington, Jackson, Grand Rapids, Oklahoma City, Chicago, Harrisburg, Brunswick, Kinston, Peoria, White Plains, Flint, Boise, Corpus Christi, Pittsburgh, Florence, Melbourne, Albany, Syracuse, Valdosta, Naples, Sioux Falls, Cleveland, Wilmington, McAllen, Lexington, Fayetteville, Memphis, Charlottesville, Gulfport-Biloxi, Tupelo, Roanoke, Dallas-Fort Worth, Arlington, Huntsville, Key West, Pasco, Moline, Burlington, Greensboro, Des Moines, Killeen, Binghamton, Lafayette, Tallahassee, Greer, Evansville, Atlantic City, Newport News, Charlotte, Toledo, Meridian, New York, Sarasota, Louisville, Nashville, Columbus-Starkville-West Point, Norfolk, Palm Springs, Chantilly, Alexandria, Reno, Kansas City, Raleigh, Jacksonville, Dayton, Cedar Rapids, Marathon, Kalamazoo, Indianapolis, Fort Wayne, Philadelphia, Lansing, Baltimore, NA, Windsor Locks, Newark, New Bern, Newburgh, Lewisburg, Green Bay, Fort Smith, Daytona Beach, Savannah, Huntington, Pinehurst/Southern Pines, Boston, Bloomington"
Comair Inc.,8851,"St Louis, Boston, New York, Greensboro, Covington, Charlotte, Dayton, Des Moines, Detroit, Norfolk, Pittsburgh, Roanoke, San Antonio, Tulsa, Knoxville, Huntsville, Atlanta, Buffalo, Chantilly, Richmond, Rochester, Birmingham, Columbus, Melbourne, Raleigh, Arlington, Denver, Madison, Providence, Greer, Jacksonville, Oklahoma City, Baltimore, Newport News, Pensacola, Indianapolis, Savannah, White Plains, Harrisburg, Lexington, Charleston, Louisville, Dallas-Fort Worth, Chicago, Trenton, Colorado Springs, Kansas City, Springfield, Newark, Syracuse, New Orleans, Portland, Bangor, Allentown, Kalamazoo, Green Bay, Manchester, Minneapolis, Philadelphia, Burlington, Houston, Austin, Akron, Cleveland, Nashville, Chattanooga, Grand Rapids, Memphis, Milwaukee, Orlando, Albany, Charlottesville, Atlantic City, Cedar Rapids, Sioux Falls, Baton Rouge, Windsor Locks, Jackson, West Palm Beach, NA, Lansing, Wilkes-Barre/Scranton, Miami, Omaha, Ft. Myers, Myrtle Beach, Huntington, Appleton, South Bend, Sarasota, Ft. Lauderdale, Binghamton, Tallahassee, Columbia, Asheville, Little Rock, Wilmington, Bristol, Tampa, Daytona Beach"
Pinnacle Airlines Inc.,7939,"Newburgh, NA, Allentown, Detroit, Kansas City, Indianapolis, Covington, Des Moines, Pellston, Kalamazoo, Madison, Arlington, Bismarck, Minneapolis, Lincoln, Harrisburg, Rhinelander, Rochester, Pensacola, Fayetteville/Springdale/Rogers, South Bend, Knoxville, Philadelphia, Sioux City, Burlington, New York, Boston, Elmira, Memphis, Wilkes-Barre/Scranton, Greer, White Plains, Chattanooga, Cedar Rapids, Mosinee, Charleston, Jackson, Moline, Montgomery, Asheville, Huntsville, Columbia, Denver, Louisville, Waterloo, Raleigh, Oklahoma City, Austin, Omaha, Birmingham, St Louis, Cleveland, Tulsa, Springfield, Dallas-Fort Worth, Evansville, Shreveport, Wichita, Houston, Idaho Falls, Green Bay, Appleton, Dayton, Grand Rapids, Fort Wayne, Flint, Portland, Roanoke, Richmond, Greensboro, Jacksonville, Columbus, Casper, Traverse City, Duluth, La Crosse, Windsor Locks, Myrtle Beach, Sioux Falls, Grand Forks, Binghamton, Erie, Lansing, Bangor, Saginaw, Pittsburgh, Lexington, Chantilly, Hancock, Fargo, Akron, Ft. Myers, Savannah, Eau Claire, Albany, Little Rock, Gulfport-Biloxi, Panama City, Baltimore, Charlotte, Tallahassee, Mobile, Nashville, Helena, Rapid City, Manchester, Norfolk, Fort Smith, Ft. Lauderdale, International Falls, Baton Rouge, Bemidji, Kalispell, Great Falls, Peoria, Salt Lake City, Bozeman, Buffalo"
Northwest Airlines Inc.,7814,"Honolulu, Los Angeles, Kahului, Green Bay, Phoenix, Minneapolis, Chicago, Rochester, Houston, San Jose, Seattle, San Francisco, Arlington, Detroit, Ft. Lauderdale, Grand Rapids, Valparaiso, Little Rock, Memphis, Philadelphia, Baltimore, Boston, Raleigh, Dallas-Fort Worth, Kalamazoo, Atlanta, St Louis, Indianapolis, Austin, New York, Albuquerque, Newark, Bozeman, Great Falls, Kalispell, Eagle, Saginaw, Duluth, Milwaukee, Kansas City, Omaha, Gulfport-Biloxi, San Antonio, Madison, Portland, Windsor Locks, Las Vegas, Denver, Louisville, Chantilly, Traverse City, Oklahoma City, Albany, Syracuse, Charlotte, Jacksonville, Bismarck, Flint, Sioux Falls, Lansing, Cleveland, Nashville, Greer, Orlando, Santa Ana, San Diego, Columbus, New Orleans, Savannah, Cedar Rapids, Tampa, Minot, Salt Lake City, Fargo, Manchester, Rapid City, Birmingham, West Palm Beach, Miami, Baton Rouge, Pittsburgh, Grand Forks, Ft. Myers, Buffalo, Des Moines, Myrtle Beach, La Crosse, Harrisburg, Providence, Norfolk, Missoula, Sarasota, Sacramento, Anchorage, Colorado Springs, Kailua/Kona, Richmond, Spokane, Tucson, Billings, Boise, Hayden"
Delta Air Lines Inc.,6521,"Atlanta, Birmingham, New York, Boston, Salt Lake City, Greensboro, Rochester, Pensacola, Houston, Baltimore, Jackson, New Orleans, Charleston, Chantilly, Norfolk, Pittsburgh, Newark, Tallahassee, Newport News, Chicago, Savannah, Memphis, San Antonio, Philadelphia, Ft. Myers, Austin, Richmond, Raleigh, Los Angeles, Arlington, Covington, Albuquerque, Sarasota, San Francisco, Charlotte, Orlando, St Louis, Nashville, Oakland, Melbourne, Dallas-Fort Worth, Ft. Lauderdale, Las Vegas, Tampa, Jacksonville, Miami, Providence, Sacramento, Windsor Locks, Phoenix, Indianapolis, Denver, San Diego, Dayton, Cleveland, Valparaiso, Knoxville, Columbia, San Jose, Seattle, Santa Ana, Milwaukee, Columbus, Lexington, Eagle, Kansas City, Oklahoma City, Honolulu, San Juan, Daytona Beach, West Palm Beach, Portland, Christiansted, Greer, Minneapolis, Buffalo, Wichita, Little Rock, Mobile, Detroit, Huntsville, El Paso, Syracuse, Charlotte Amalie, Hayden, Montrose, Louisville, Bozeman, Gulfport-Biloxi, Anchorage, Ontario, Boise, Reno, Kahului, Spokane, Colorado Springs"
JetBlue Airways,3710,"Long Beach, Oakland, Sacramento, Boston, Charlotte, Chantilly, New York, Pittsburgh, Austin, Phoenix, Richmond, Buffalo, Columbus, Chicago, Nashville, Burlington, Burbank, Denver, Newark, Ft. Lauderdale, Houston, Jacksonville, Las Vegas, Orlando, New Orleans, Ontario, West Palm Beach, Portland, Raleigh, Rochester, Ft. Myers, San Diego, San Jose, San Juan, Salt Lake City, Sarasota, Newburgh, Syracuse, Tampa, Tucson, Aguadilla, Ponce, Seattle, White Plains, Nantucket, San Francisco"
Continental Air Lines Inc.,2951,"Chicago, Arlington, Columbus, Houston, Tampa, San Antonio, Newark, San Jose, Philadelphia, New York, New Orleans, Boston, West Palm Beach, Atlanta, Seattle, Orlando, Eagle, Tulsa, Austin, Dallas-Fort Worth, Oklahoma City, Denver, Miami, Chantilly, Baton Rouge, Detroit, Cleveland, Phoenix, McAllen, Minneapolis, Omaha, Santa Ana, Los Angeles, Las Vegas, Ft. Myers, San Francisco, Tucson, Daytona Beach, Baltimore, Ft. Lauderdale, Buffalo, Sarasota, Jacksonville, Albuquerque, Honolulu, Anchorage, San Diego, Raleigh, Ponce, Charlotte Amalie, San Juan, Salt Lake City, Hayden, Myrtle Beach, Montrose, El Paso, Portland, Indianapolis, Providence, Aguadilla, Birmingham, Oakland, Pittsburgh, Kansas City, Windsor Locks, Reno"
AirTran Airways Corporation,2602,"Atlanta, Richmond, New York, Pensacola, Boston, Baltimore, Chantilly, Memphis, Philadelphia, Tampa, Sarasota, West Palm Beach, Newport News, Dallas-Fort Worth, White Plains, Kansas City, Ft. Myers, Wichita, Chicago, Savannah, Miami, Bloomington, Denver, Ft. Lauderdale, Houston, Orlando, Pittsburgh, Newburgh, Charlotte, Arlington, Jacksonville, Minneapolis, Raleigh, Dayton, Newark, Buffalo, Gulfport-Biloxi, New Orleans, Detroit, Milwaukee, Akron, Indianapolis, Moline, Rochester, Daytona Beach, Flint, Las Vegas, San Francisco, St Louis, Portland, Charleston, San Diego, Seattle, Phoenix"
Alaska Airlines Inc.,2563,"Juneau, Ketchikan, Anchorage, Bethel, King Salmon, Fairbanks, San Jose, Kodiak, Yakutat, Cordova, San Francisco, San Diego, Seattle, Phoenix, Long Beach, Reno, Portland, Oakland, Santa Ana, Palm Springs, Kotzebue, Nome, Denver, Ontario, Sacramento, Los Angeles, Dillingham, Dallas-Fort Worth, Wrangell, Spokane, Las Vegas, Burbank, Deadhorse, Barrow, Sitka, Petersburg, Adak, Arlington, Boston, Newark, Chicago, Boise, Miami, Orlando, Gustavus, Tucson, Lihue"
Frontier Airlines Inc.,398,"Dallas-Fort Worth, Denver, Kansas City, St Louis, Oklahoma City, Albuquerque, Austin, San Antonio, Houston, Detroit, San Diego, Orlando, San Francisco, Arlington, Chicago, Los Angeles, Santa Ana, Dayton, Akron, Indianapolis, Omaha, Portland, Fresno, Phoenix, Milwaukee, Minneapolis, Philadelphia, New York, Atlanta, Nashville, Las Vegas, Salt Lake City, Tucson, Jacksonville, Windsor Locks, Seattle, Tulsa, Louisville, Memphis"
Aloha Airlines Inc.,388,"Honolulu, Lihue, Kahului, Kailua/Kona, Oakland, San Diego, Reno, Santa Ana, Hilo, Sacramento"
Hawaiian Airlines Inc.,238,"Los Angeles, Honolulu, Kahului, Lihue, Hilo, Kailua/Kona, San Francisco"
